,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,16,CL,1579489736,61,-53.15,-70.92,50.0,23.04
1,Talnakh,40,RU,1579489736,75,69.49,88.4,-20.2,6.71
2,Sioux Lookout,5,CA,1579489736,84,50.1,-91.92,1.4,4.7
3,Bilma,0,NE,1579489736,27,18.69,12.92,55.13,9.8
4,Shaunavon,98,CA,1579489736,95,49.65,-108.42,5.25,11.05
5,Pitea,100,SE,1579489737,92,65.32,21.48,34.0,4.7
6,Katherine,40,AU,1579489737,49,-14.47,132.27,93.2,11.41
7,New Norfolk,75,AU,1579489737,67,-42.78,147.06,64.0,16.11
8,Airai,34,TL,1579489737,47,-8.93,125.41,83.35,4.21
9,George Town,20,MY,1579489737,70,5.41,100.34,86.0,6.93
10,Kaberamaido,93,UG,1579489738,37,1.74,33.16,73.96,2.75
11,Chui,49,UY,1579489738,90,-33.7,-53.46,71.1,10.67
12,Marsabit,92,KE,1579489738,42,2.33,37.99,76.91,11.54
13,Zhigansk,100,RU,1579489739,98,66.77,123.37,-19.07,10.33
14,Guarapari,18,BR,1579489739,73,-20.67,-40.5,80.01,9.17
15,Mount Isa,75,AU,1579489739,28,-20.73,139.5,93.2,10.29
16,Butaritari,61,KI,1579489739,72,3.07,172.79,85.37,7.65
17,Mataura,39,NZ,1579489739,82,-46.19,168.86,62.01,4.0
18,Chokurdakh,64,RU,1579489740,99,70.63,147.92,-31.11,3.56
19,Nouadhibou,0,MR,1579489740,29,20.93,-17.03,66.2,12.75
20,Saskylakh,55,RU,1579489740,95,71.92,114.08,-30.08,5.08
21,Dikson,30,RU,1579489740,95,73.51,80.55,-25.78,7.27
22,Kaitangata,34,NZ,1579489741,74,-46.28,169.85,66.99,8.01
23,Rikitea,100,PF,1579489741,77,-23.12,-134.97,78.1,10.02
24,Hobart,75,AU,1579489553,67,-42.88,147.33,64.0,16.11
25,Ribeira Grande,84,PT,1579489741,83,38.52,-28.7,59.04,14.97
26,Port Alfred,100,ZA,1579489742,80,-33.59,26.89,66.0,7.0
27,Nanortalik,100,GL,1579489742,64,60.14,-45.24,25.81,22.79
28,Busselton,0,AU,1579489742,22,-33.65,115.33,87.01,8.7
29,Hermanus,100,ZA,1579489742,72,-34.42,19.23,66.0,17.0
30,Nikolskoye,90,RU,1579489742,93,59.7,30.79,35.6,8.95
31,Atuona,67,PF,1579489743,77,-9.8,-139.03,80.78,12.91
32,Uaua,1,BR,1579489743,76,-9.84,-39.48,72.16,11.43
33,Mutoko,100,ZW,1579489743,91,-17.4,32.23,66.58,7.47
34,Longyearbyen,100,SJ,1579489743,97,78.22,15.64,17.17,4.72
35,Kumta,46,IN,1579489744,60,14.42,74.4,77.34,4.9
36,Bluff,75,NZ,1579489744,82,-46.6,168.33,62.01,4.0
37,Upernavik,99,GL,1579489744,72,72.79,-56.15,-12.42,7.99
38,Bredasdorp,100,ZA,1579489744,88,-34.53,20.04,62.6,13.87
39,Guerrero Negro,45,MX,1579489744,38,27.98,-114.06,63.01,8.61
40,Mahebourg,75,MU,1579489745,88,-20.41,57.7,80.6,4.7
41,Saint George,1,US,1579489622,36,37.1,-113.58,51.8,5.66
42,Thompson,5,CA,1579489745,76,55.74,-97.86,-4.0,12.75
43,Vernon,90,CA,1579489686,98,50.26,-119.27,33.01,3.36
44,Ushuaia,75,AR,1579489746,75,-54.8,-68.3,46.4,32.21
45,Saldanha,50,ZA,1579489746,68,-33.01,17.94,68.0,8.05
46,Saint-Pierre,100,RE,1579489746,83,-21.34,55.48,79.0,4.7
47,San Quintin,96,MX,1579489747,65,30.48,-115.95,59.25,5.59
48,Arraial do Cabo,53,BR,1579489747,79,-22.97,-42.03,74.43,8.28
49,Cabo San Lucas,5,MX,1579489678,68,22.89,-109.91,69.8,5.23
50,Kilrush,31,IE,1579489747,93,52.64,-9.48,37.99,4.7
51,Albany,90,US,1579489748,62,42.6,-73.97,23.0,17.22
52,Bol,0,TD,1579489748,39,13.46,14.71,63.09,19.22
53,Tasiilaq,100,GL,1579489748,86,65.61,-37.64,26.6,12.75
54,La Palma,1,US,1579489748,48,33.85,-118.05,68.0,3.06
55,Port Elizabeth,92,ZA,1579489749,75,-33.92,25.57,66.27,23.15
56,Khatanga,100,RU,1579489749,97,71.97,102.5,-23.6,5.12
57,Ponta do Sol,75,PT,1579489751,63,32.67,-17.1,60.8,18.34
58,Armenia,75,AM,1579489751,92,40.0,45.0,28.4,3.0
59,Broome,90,US,1579489751,72,42.25,-75.83,19.99,12.75
60,Dingle,50,PH,1579489751,84,11.0,122.67,78.98,13.18
61,Hervey Bay,33,AU,1579489751,62,-25.3,152.85,87.8,17.22
62,Marsh Harbour,13,BS,1579489752,70,26.54,-77.06,72.55,8.1
63,Cape Town,20,ZA,1579489537,72,-33.93,18.42,68.0,16.11
64,Kargil,100,IN,1579489752,99,34.57,76.1,-11.0,1.36
65,Barrow,90,US,1579489752,84,71.29,-156.79,3.2,9.17
66,Kakonko,100,TZ,1579489753,97,-3.28,30.96,61.97,1.9
67,Castro,47,BR,1579489753,98,-24.79,-50.01,62.15,7.76
68,Dolisie,100,CG,1579489753,96,-4.2,12.67,72.91,1.07
69,Rizhao,0,CN,1579489669,40,35.43,119.46,42.04,8.63
70,Nome,1,US,1579489754,71,64.5,-165.41,8.6,9.17
71,Provideniya,90,RU,1579489754,92,64.38,-173.3,21.2,13.42
72,Lincoln,90,US,1579489754,71,40.8,-96.67,10.4,6.93
73,Faya,0,SA,1579489754,70,18.39,42.45,48.2,3.36
74,Tuktoyaktuk,5,CA,1579489755,74,69.45,-133.04,-23.8,3.36
75,Changji,64,CN,1579489608,85,44.02,87.32,10.4,4.47
76,Kapaa,1,US,1579489743,57,22.08,-159.32,78.8,16.11
77,Carnarvon,0,AU,1579489755,65,-24.87,113.63,80.6,19.46
78,Moose Factory,1,CA,1579489755,70,51.26,-80.61,1.4,12.75
79,Les Cayes,0,HT,1579489756,73,18.2,-73.75,81.23,22.08
80,Puerto Ayora,100,EC,1579489756,43,-0.74,-90.35,75.99,13.62
81,Vieux-Habitants,20,GP,1579489756,83,16.06,-61.77,71.6,4.7
82,Oodweyne,97,SO,1579489756,60,9.41,45.06,57.72,10.22
83,Quthing,0,LS,1579489757,75,-30.4,27.7,55.9,4.68
84,Vaini,20,TO,1579489757,58,-21.2,-175.2,84.2,17.22
85,Oum Hadjer,0,TD,1579489757,26,13.3,19.7,59.65,9.08
86,Saurimo,100,AO,1579489757,97,-9.66,20.39,64.47,1.68
87,Shenjiamen,0,CN,1579489758,63,29.96,122.3,48.04,12.03
88,Constitucion,17,CL,1579489758,79,-35.33,-72.42,55.42,2.66
89,Meulaboh,80,ID,1579489758,77,4.14,96.13,81.55,5.14
90,Clyde River,1,CA,1579489759,73,70.47,-68.59,-32.8,4.7
91,Sinnamary,96,GF,1579489759,80,5.38,-52.95,79.47,15.77
92,Olinda,20,BR,1579489759,74,-8.01,-34.86,82.4,9.17
93,Pisco,100,PE,1579489759,83,-13.7,-76.22,71.6,14.99
94,Beira,75,MZ,1579489759,88,-19.84,34.84,80.6,14.99
95,Hilo,1,US,1579489602,65,19.73,-155.09,78.8,11.41
96,Cockburn Town,0,TC,1579489493,75,21.46,-71.14,76.23,17.54
97,Tocopilla,73,CL,1579489760,55,-22.09,-70.2,65.98,1.07
98,Dubbo,40,AU,1579489760,42,-32.25,148.62,84.2,20.8
99,Esil,100,KZ,1579489761,96,51.96,66.4,7.84,9.44
100,Hong Kong,40,HK,1579489761,63,22.29,114.16,66.0,4.7
101,Lompoc,1,US,1579489749,71,34.64,-120.46,57.0,3.36
102,Middletown,90,US,1579489669,78,39.52,-84.4,16.0,6.93
103,Kloulklubed,40,PW,1579489762,62,7.04,134.26,86.0,17.22
104,Jamestown,90,US,1579489481,85,42.1,-79.24,21.2,9.17
105,Okhotsk,0,RU,1579489762,75,59.38,143.3,-16.02,6.96
106,Port-Cartier,75,CA,1579489762,64,50.03,-66.87,1.0,10.29
107,Rantepao,85,ID,1579489762,71,-2.97,119.9,79.99,3.33
108,Porto Santo,40,PT,1579489763,63,33.07,-16.34,60.8,10.29
109,Marabu,75,MY,1579489763,79,4.41,114.01,86.0,12.75
110,Coyote,40,MX,1579489763,52,25.7,-103.27,66.2,3.36
111,Hay River,40,CA,1579489764,77,60.82,-115.8,3.2,6.93
112,Inhambane,100,MZ,1579489764,83,-23.86,35.38,79.99,25.66
113,Leningradskiy,100,RU,1579489764,98,69.38,178.42,-5.57,7.34
114,Coahuayana Viejo,5,MX,1579489764,83,18.73,-103.68,73.4,4.07
115,Yar-Sale,100,RU,1579489764,92,66.83,70.83,14.67,15.86
116,Berlevag,100,NO,1579489765,89,70.86,29.09,30.16,23.0
117,Padang,100,ID,1579489765,68,-0.95,100.35,80.19,0.89
118,Ilheus,40,BR,1579489765,74,-14.79,-39.05,82.4,12.75
119,Yangi Marg`ilon,100,UZ,1579489765,79,40.43,71.72,30.2,4.7
120,Narsaq,100,GL,1579489765,40,60.92,-46.05,14.0,4.7
121,Yerbogachen,100,RU,1579489766,84,61.28,108.01,-1.26,14.16
122,Khovd,0,MN,1579489766,54,48.01,91.64,9.03,9.64
123,Alyangula,49,AU,1579489766,56,-13.85,136.42,93.2,10.29
124,Norman Wells,20,CA,1579489766,75,65.28,-126.83,-20.2,3.36
125,Coyhaique,100,CL,1579489767,66,-45.58,-72.07,55.4,3.36
126,Charlestown,75,AU,1579489686,74,-32.95,151.67,90.0,10.29
127,Mehamn,100,NO,1579489767,93,71.04,27.85,27.18,14.41
128,Bayir,0,TR,1579489768,35,37.27,28.22,42.8,4.7
129,Nar'yan-Mar,4,RU,1579489769,90,67.67,53.09,-0.13,9.62
130,Souillac,75,MU,1579489769,88,-20.52,57.52,81.0,4.7
131,Laas,74,IT,1579489769,76,46.62,10.7,28.0,2.24
132,Redmond,90,US,1579489648,100,47.67,-122.12,50.0,4.88
133,Erzin,56,TR,1579489770,80,36.96,36.2,43.0,6.93
134,Mayo,1,US,1579489770,58,38.89,-76.51,32.0,16.11
135,Shiloh,75,US,1579489770,72,38.56,-89.9,18.0,10.29
136,Khanpur,100,PK,1579489685,40,28.65,70.66,57.02,3.67
137,Aklavik,20,CA,1579489771,68,68.22,-135.01,-18.4,4.72
138,Alofi,98,NU,1579489772,79,-19.06,-169.92,84.2,5.82
139,Vila Franca do Campo,75,PT,1579489772,93,37.72,-25.43,62.6,12.75
140,Malanje,100,AO,1579489772,99,-9.54,16.34,62.42,3.38
141,Pevek,100,RU,1579489773,97,69.7,170.31,-3.08,18.81
142,Najran,0,SA,1579489685,32,17.49,44.13,53.6,0.43
143,Abreu e Lima,20,BR,1579489773,74,-7.91,-34.9,82.4,9.17
144,Ilulissat,48,GL,1579489773,71,69.22,-51.1,3.2,9.17
145,Lorengau,77,PG,1579489774,74,-2.02,147.27,83.89,18.68
146,Sandpoint,90,US,1579489774,100,48.28,-116.55,33.01,3.85
147,Fairbanks,1,US,1579489616,73,64.84,-147.72,-25.6,2.26
148,Sao Fidelis,12,BR,1579489774,94,-21.65,-41.75,67.06,0.72
149,Nadym,100,RU,1579489774,95,65.53,72.52,1.38,15.14
150,Halifax,90,CA,1579489626,100,44.65,-63.57,28.0,13.87
151,Mar del Plata,33,AR,1579489775,60,-38.0,-57.56,75.0,6.93
152,Talara,100,PE,1579489775,90,-4.58,-81.27,70.95,13.62
153,Srednekolymsk,97,RU,1579489776,98,67.45,153.68,-29.96,5.93
154,Samarai,19,PG,1579489776,52,-10.62,150.67,90.91,6.02
155,Tiksi,100,RU,1579489776,85,71.69,128.87,-9.4,7.4
156,Pacifica,1,US,1579489776,100,37.61,-122.49,52.0,10.29
157,Sao Jose da Coroa Grande,100,BR,1579489777,76,-8.9,-35.15,80.65,12.33
158,Banda Aceh,24,ID,1579489777,64,5.56,95.32,84.15,5.7
159,Nagato,75,JP,1579489777,49,34.38,131.2,50.0,13.87
160,Tateyama,0,JP,1579489777,61,34.98,139.87,55.99,3.36
161,Kodiak,75,US,1579489778,72,57.79,-152.41,32.0,10.29
162,Hithadhoo,100,MV,1579489778,75,-0.6,73.08,83.23,10.83
163,Vardo,100,NO,1579489778,84,70.37,31.11,23.85,16.8
164,Kabare,89,CD,1579489779,96,-2.47,28.82,58.05,1.83
165,Kangalassy,89,RU,1579489779,74,62.35,129.96,-25.6,2.64
166,Asau,90,RO,1579489779,92,46.43,26.4,32.0,5.82
167,Avarua,100,CK,1579489779,88,-21.21,-159.78,80.6,13.87
168,Chokwe,100,MZ,1579489779,84,-24.53,32.98,72.41,11.3
169,Berezovyy,0,RU,1579489780,68,51.67,135.7,4.05,1.97
170,Torbay,90,CA,1579489780,100,47.67,-52.73,28.0,45.9
171,Lebu,0,CL,1579489780,80,-37.62,-73.65,53.76,6.04
172,Trairi,90,BR,1579489780,91,-3.28,-39.27,73.96,1.9
173,Solnechnyy,8,RU,1579489781,91,50.72,136.63,0.79,3.44
174,Saint-Philippe,100,RE,1579489781,83,-21.36,55.77,79.0,4.7
175,Yugorsk,0,RU,1579489781,97,61.31,63.33,-4.0,2.37
176,Kotagiri,20,IN,1579489781,78,11.43,76.88,73.4,3.36
177,Atbasar,100,KZ,1579489782,96,51.8,68.33,6.33,6.78
178,Ust'-Kut,100,RU,1579489782,94,56.79,105.77,-0.72,7.56
179,Geraldton,40,AU,1579489782,65,-28.77,114.6,78.8,24.16
180,Port-Gentil,27,GA,1579489782,77,-0.72,8.78,81.52,8.75
181,Prince Rupert,90,CA,1579489582,100,54.32,-130.32,35.6,12.37
182,Samarinda,82,ID,1579489783,59,-0.5,117.15,88.34,5.77
183,Varenikovskaya,0,RU,1579489783,86,45.12,37.64,28.4,15.66
184,Bambous Virieux,75,MU,1579489783,88,-20.34,57.76,81.0,4.7
185,Bathsheba,40,BB,1579489783,74,13.22,-59.52,78.8,18.34
186,Hamilton,90,US,1579489778,72,39.18,-84.53,16.0,5.82
187,Tolaga Bay,69,NZ,1579489784,86,-38.37,178.3,64.42,15.86
188,Vila,0,PT,1579489784,60,42.03,-8.16,46.99,3.36
189,Sobolevo,88,RU,1579489784,91,54.43,31.9,32.29,10.4
190,Klaksvik,100,FO,1579489784,93,62.23,-6.59,48.2,10.29
191,Gemeente Wageningen,40,NL,1579489785,100,51.97,5.67,37.0,1.12
192,Pionerskiy,90,RU,1579489785,86,54.95,20.23,39.2,13.42
193,Merauke,0,ID,1579489785,56,-8.47,140.33,90.97,9.42
194,Richards Bay,100,ZA,1579489785,73,-28.78,32.04,72.05,21.65
195,Grand Gaube,75,MU,1579489785,88,-20.01,57.66,81.0,4.7
196,Touros,40,BR,1579489786,88,-5.2,-35.46,77.0,4.7
197,Diego de Almagro,0,CL,1579489786,61,-26.37,-70.05,63.79,1.01
198,Beringovskiy,92,RU,1579489786,100,63.05,179.32,0.07,14.0
199,Jumla,0,NP,1579489786,59,29.27,82.18,22.35,2.98
200,Amapa,90,BR,1579489787,98,1.0,-52.0,73.24,2.98
201,Natagaima,100,CO,1579489787,65,3.62,-75.09,74.97,7.25
202,Seoul,1,KR,1579489681,38,37.57,126.98,39.2,3.36
203,Dali,0,CN,1579489787,52,25.7,100.18,49.21,3.89
204,Kudahuvadhoo,99,MV,1579489787,79,2.67,72.89,82.83,11.72
205,Meiganga,100,CM,1579489788,36,6.52,14.3,62.92,4.76
206,Bulgan,100,MN,1579489788,67,48.81,103.53,9.63,2.84
207,Esperance,7,AU,1579489788,46,-33.87,121.9,71.6,8.05
208,Miraflores,90,MX,1579489788,81,19.22,-98.81,53.6,6.93
209,Ardakan,75,IR,1579489788,93,32.31,54.02,35.6,6.93
210,Remanso,89,BR,1579489789,64,-9.62,-42.08,77.99,4.34
211,Severo-Kuril'sk,60,RU,1579489789,79,50.68,156.12,18.88,5.06
212,Jalu,0,LY,1579489789,68,29.03,21.55,53.56,7.18
213,Carolina,75,PR,1579489790,78,18.38,-65.96,77.0,8.05
214,Dongsheng,0,CN,1579489790,70,39.82,109.98,17.38,7.02
215,Moerai,100,PF,1579489790,77,-22.43,-151.33,78.62,15.3
216,Mentougou,0,CN,1579489790,21,39.94,116.09,39.0,13.42
217,Ambon,40,ID,1579489790,52,-3.7,128.18,91.4,6.93
218,Luderitz,0,NA,1579489791,87,-26.65,15.16,60.8,3.36
219,Paciran,88,ID,1579489791,61,-6.88,112.38,89.85,2.93
220,Sao Joao da Barra,11,BR,1579489741,86,-21.64,-41.05,72.43,10.65
221,Hasaki,20,JP,1579489791,56,35.73,140.83,55.0,4.7
222,Phayao,17,TH,1579489792,49,19.25,100.25,77.95,3.83
223,Hirara,75,JP,1579489792,93,24.8,125.28,64.4,4.7
224,Nelson Bay,75,AU,1579489792,74,-32.72,152.15,84.99,10.29
225,Uglekamensk,16,RU,1579489792,59,43.22,133.23,22.93,4.52
226,Tecuala,0,MX,1579489792,73,22.4,-105.46,70.56,2.04
227,Tawao,75,MY,1579489793,74,4.25,117.89,86.0,8.05
228,Hvide Sande,48,DK,1579489793,93,56.0,8.13,44.01,6.93
229,Karratha,3,AU,1579489793,72,-20.74,116.85,85.23,5.79
230,Ahipara,22,NZ,1579489793,84,-35.17,173.17,67.55,17.31
231,Ust'-Kulom,82,RU,1579489793,94,61.69,53.69,0.3,5.3
232,Praia da Vitoria,100,PT,1579489794,81,38.73,-27.07,63.03,18.88
233,Peleduy,19,RU,1579489794,89,59.63,112.74,-9.63,2.86
234,Grenfell,40,AU,1579489794,60,-33.9,148.17,75.58,10.6
235,City of San Pedro,75,PH,1579489794,69,14.35,121.02,86.0,8.05
236,Beloha,100,MG,1579489795,83,-25.17,45.05,73.92,6.04
237,Sorland,98,NO,1579489795,82,67.67,12.69,44.64,33.91
